scene,scale,depth_a,depth_b,js_divergence,cosine_similarity
staircase2,medium,2,3,0.011617382661597763,0.9776366733082913
staircase2,medium,3,4,0.004431835975131472,0.9913324880510973
staircase2,medium,4,5,0.0025065910581316617,0.9964898055579552
staircase2,coarse,1,2,0.02698751254848714,0.9404479624568641
staircase2,coarse,2,3,0.009690600210088503,0.9812799344948978
staircase2,coarse,3,4,0.003500841791560061,0.9931897545522362
staircase2,coarse,4,5,0.0019753864055005745,0.9972353460372847
veach-ajar,native,1,2,0.1717458849539749,0.8427313125105522
veach-ajar,native,2,3,0.028658227201681055,0.9204984417633273
veach-ajar,native,3,4,0.009991566670917043,0.9706897710180054
veach-ajar,native,4,5,0.005523757918042531,0.9798057257902619
veach-ajar,medium,1,2,0.16590780580554212,0.8526416999914429
veach-ajar,medium,2,3,0.026815636765305333,0.9284097880645238
veach-ajar,medium,3,4,0.008708271747104611,0.9771200558691369
veach-ajar,medium,4,5,0.004523746302037523,0.9836967965507568
veach-ajar,coarse,1,2,0.1522178122825776,0.8673685261152875
veach-ajar,coarse,2,3,0.02395899865986073,0.9383008009365614
veach-ajar,coarse,3,4,0.007696234995587754,0.9825395609298191
veach-ajar,coarse,4,5,0.00389047074130785,0.9869565504419354
veach-bidir,native,1,2,0.024052140223227225,0.9117122165017577
veach-bidir,native,2,3,0.006167362791534396,0.9600289900319448
veach-bidir,native,3,4,0.0016179877998306268,0.9946920607751285
veach-bidir,native,4,5,0.0009343737931965912,0.9972233399198274
veach-bidir,medium,1,2,0.022818514386441016,0.9305471332127863
veach-bidir,medium,2,3,0.005561693008049718,0.9706476614711582
veach-bidir,medium,3,4,0.001188613695108567,0.9959512470842086
veach-bidir,medium,4,5,0.000522350646879881,0.9981739260504016
veach-bidir,coarse,1,2,0.01788441022350258,0.9587124415268728
veach-bidir,coarse,2,3,0.004486509791629907,0.9819310349402591
veach-bidir,coarse,3,4,0.0009080583747361037,0.9978704100252764
veach-bidir,coarse,4,5,0.0004285249134545039,0.9986906857151914
veach-mis,native,1,2,0.18970303114362577,0.5878244369322149
veach-mis,native,2,3,0.05872095234892376,0.8603017838444391
veach-mis,native,3,4,0.02715192867637175,0.9234440942183184
veach-mis,native,4,5,0.017294632268550186,0.9691860859953997
veach-mis,medium,1,2,0.18279255123163926,0.6010240647868057
veach-mis,medium,2,3,0.054699649417135274,0.877202931308592
veach-mis,medium,3,4,0.023130967247788695,0.9344174388941947
veach-mis,medium,4,5,0.011193818059541855,0.9778200717335824
veach-mis,coarse,1,2,0.16105130125265854,0.640931103945885
veach-mis,coarse,2,3,0.04496659770151176,0.9079813533639645
veach-mis,coarse,3,4,0.017339095936157692,0.9540923833693292
veach-mis,coarse,4,5,0.007926616290657013,0.9845899699791645
